Comune,Beatrice Marinelli,Claudio Bolletta,Francesco Acquaroli,Francesco Gerardi,Lidia Mangani,Matteo Ricci,Vincitore,Margine
Acqualagna,0.84,0.31,60.25,0.42,0.73,37.45,Francesco Acquaroli,22.799999999999997
Acquasanta Terme,0.09,0.65,68.35,0.47,,30.44,Francesco Acquaroli,37.91
Acquaviva Picena,2.22,0.55,51.28,0.62,,45.32,Francesco Acquaroli,5.960000000000001
Agugliano,1.05,0.46,42.93,0.5,0.78,54.29,Matteo Ricci,-11.36
Altidona,1.16,1.16,56.57,0.89,,40.22,Francesco Acquaroli,16.35
Amandola,1.06,0.41,64.19,0.12,,34.22,Francesco Acquaroli,29.97
Ancona,0.8,0.69,43.35,0.54,1.47,53.14,Matteo Ricci,-9.79
Apecchio,0.67,0.22,63.0,0.0,1.22,34.89,Francesco Acquaroli,28.11
Apiro,0.64,0.85,56.88,0.53,1.28,39.81,Francesco Acquaroli,17.07
Appignano,0.74,1.12,50.35,0.21,0.85,46.73,Francesco Acquaroli,3.6200000000000045
Appignano Del Tronto,0.43,0.29,58.47,0.43,,40.38,Francesco Acquaroli,18.089999999999996
Arcevia,0.99,0.63,48.01,0.63,1.83,47.91,Francesco Acquaroli,0.10000000000000142
Arquata Del Tronto,0.46,0.69,62.39,0.23,,36.24,Francesco Acquaroli,26.15
Ascoli Piceno,0.4,0.87,58.26,0.48,,40.0,Francesco Acquaroli,18.259999999999998
Barbara,1.25,0.0,55.97,0.0,1.07,41.71,Francesco Acquaroli,14.259999999999998
Belforte All'Isauro,0.72,0.36,75.63,0.36,1.43,21.51,Francesco Acquaroli,54.11999999999999
Belforte Del Chienti,3.05,0.7,56.74,0.47,1.41,37.63,Francesco Acquaroli,19.11
Belmonte Piceno,0.4,0.0,66.0,1.2,,32.4,Francesco Acquaroli,33.6
Belvedere Ostrense,0.88,1.32,53.53,0.22,0.88,43.16,Francesco Acquaroli,10.370000000000005
Bolognola,0.0,0.0,83.54,0.0,1.27,15.19,Francesco Acquaroli,68.35000000000001
Borgo Pace,0.39,0.39,68.36,0.39,0.0,30.47,Francesco Acquaroli,37.89
Cagli,0.43,0.54,53.88,0.24,1.03,43.87,Francesco Acquaroli,10.010000000000005
Caldarola,1.9,0.38,56.08,0.51,1.52,39.62,Francesco Acquaroli,16.46
Camerano,1.01,0.91,49.2,1.55,1.01,46.33,Francesco Acquaroli,2.8700000000000045
Camerata Picena,0.96,1.05,51.68,0.48,0.77,45.06,Francesco Acquaroli,6.619999999999997
Camerino,0.53,0.72,61.73,0.2,0.85,35.97,Francesco Acquaroli,25.759999999999998
Campofilone,1.82,2.73,44.09,0.0,,51.36,Matteo Ricci,-7.269999999999996
Camporotondo Di Fiastrone,1.84,1.84,57.6,0.0,0.46,38.25,Francesco Acquaroli,19.35
