comune_id,comune_nome,candidato,voti,voti_nona,voti_solosindpres,percentuale,sezioni_totali,timestamp
1,Acqualagna,Francesco Acquaroli,1152,0,0,60.25,4,30/09/2025 - 00:46:04
1,Acqualagna,Matteo Ricci,716,0,0,37.45,4,30/09/2025 - 00:46:04
1,Acqualagna,Beatrice Marinelli,16,0,0,0.84,4,30/09/2025 - 00:46:04
1,Acqualagna,Lidia Mangani,14,0,0,0.73,4,30/09/2025 - 00:46:04
1,Acqualagna,Francesco Gerardi,8,0,0,0.42,4,30/09/2025 - 00:46:04
1,Acqualagna,Claudio Bolletta,6,0,0,0.31,4,30/09/2025 - 00:46:04
2,Apecchio,Francesco Acquaroli,567,0,0,63.0,3,30/09/2025 - 00:46:04
2,Apecchio,Matteo Ricci,314,0,0,34.89,3,30/09/2025 - 00:46:04
2,Apecchio,Lidia Mangani,11,0,0,1.22,3,30/09/2025 - 00:46:04
2,Apecchio,Beatrice Marinelli,6,0,0,0.67,3,30/09/2025 - 00:46:04
2,Apecchio,Claudio Bolletta,2,0,0,0.22,3,30/09/2025 - 00:46:04
2,Apecchio,Francesco Gerardi,0,0,0,0.0,3,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Francesco Acquaroli,211,0,0,75.63,1,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Matteo Ricci,60,0,0,21.51,1,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Lidia Mangani,4,0,0,1.43,1,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Beatrice Marinelli,2,0,0,0.72,1,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Claudio Bolletta,1,0,0,0.36,1,30/09/2025 - 00:46:04
3,Belforte All'Isauro,Francesco Gerardi,1,0,0,0.36,1,30/09/2025 - 00:46:04
4,Borgo Pace,Francesco Acquaroli,175,0,0,68.36,2,30/09/2025 - 00:46:04
4,Borgo Pace,Matteo Ricci,78,0,0,30.47,2,30/09/2025 - 00:46:04
4,Borgo Pace,Claudio Bolletta,1,0,0,0.39,2,30/09/2025 - 00:46:04
4,Borgo Pace,Francesco Gerardi,1,0,0,0.39,2,30/09/2025 - 00:46:04
4,Borgo Pace,Beatrice Marinelli,1,0,0,0.39,2,30/09/2025 - 00:46:04
4,Borgo Pace,Lidia Mangani,0,0,0,0.0,2,30/09/2025 - 00:46:04
5,Cagli,Francesco Acquaroli,1991,0,0,53.88,12,30/09/2025 - 00:46:04
5,Cagli,Matteo Ricci,1621,0,0,43.87,12,30/09/2025 - 00:46:04
5,Cagli,Lidia Mangani,38,0,0,1.03,12,30/09/2025 - 00:46:04
5,Cagli,Claudio Bolletta,20,0,0,0.54,12,30/09/2025 - 00:46:04
5,Cagli,Beatrice Marinelli,16,0,0,0.43,12,30/09/2025 - 00:46:04
5,Cagli,Francesco Gerardi,9,0,0,0.24,12,30/09/2025 - 00:46:04
6,Cantiano,Matteo Ricci,648,0,0,61.31,4,30/09/2025 - 00:46:04
6,Cantiano,Francesco Acquaroli,386,0,0,36.52,4,30/09/2025 - 00:46:04
6,Cantiano,Lidia Mangani,15,0,0,1.42,4,30/09/2025 - 00:46:04
6,Cantiano,Claudio Bolletta,7,0,0,0.66,4,30/09/2025 - 00:46:04
6,Cantiano,Beatrice Marinelli,1,0,0,0.09,4,30/09/2025 - 00:46:04
6,Cantiano,Francesco Gerardi,0,0,0,0.0,4,30/09/2025 - 00:46:04
7,Carpegna,Francesco Acquaroli,525,0,0,69.26,2,30/09/2025 - 00:46:04
7,Carpegna,Matteo Ricci,215,0,0,28.36,2,30/09/2025 - 00:46:04
7,Carpegna,Claudio Bolletta,8,0,0,1.06,2,30/09/2025 - 00:46:04
7,Carpegna,Lidia Mangani,7,0,0,0.92,2,30/09/2025 - 00:46:04
7,Carpegna,Beatrice Marinelli,3,0,0,0.4,2,30/09/2025 - 00:46:04
7,Carpegna,Francesco Gerardi,0,0,0,0.0,2,30/09/2025 - 00:46:04
8,Cartoceto,Francesco Acquaroli,2123,0,0,63.83,7,30/09/2025 - 00:46:04
8,Cartoceto,Matteo Ricci,1065,0,0,32.02,7,30/09/2025 - 00:46:04
8,Cartoceto,Beatrice Marinelli,75,0,0,2.25,7,30/09/2025 - 00:46:04
8,Cartoceto,Lidia Mangani,22,0,0,0.66,7,30/09/2025 - 00:46:04
8,Cartoceto,Francesco Gerardi,22,0,0,0.66,7,30/09/2025 - 00:46:04
8,Cartoceto,Claudio Bolletta,19,0,0,0.57,7,30/09/2025 - 00:46:04
9,Fano,Francesco Acquaroli,13547,0,0,50.1,68,30/09/2025 - 00:46:04
9,Fano,Matteo Ricci,12729,0,0,47.07,68,30/09/2025 - 00:46:04
9,Fano,Lidia Mangani,241,0,0,0.89,68,30/09/2025 - 00:46:04
9,Fano,Beatrice Marinelli,198,0,0,0.73,68,30/09/2025 - 00:46:04
9,Fano,Claudio Bolletta,182,0,0,0.67,68,30/09/2025 - 00:46:04
9,Fano,Francesco Gerardi,143,0,0,0.53,68,30/09/2025 - 00:46:04
10,Fermignano,Francesco Acquaroli,1822,0,0,50.79,7,30/09/2025 - 00:46:04
10,Fermignano,Matteo Ricci,1694,0,0,47.23,7,30/09/2025 - 00:46:04
10,Fermignano,Lidia Mangani,24,0,0,0.67,7,30/09/2025 - 00:46:04
10,Fermignano,Claudio Bolletta,16,0,0,0.45,7,30/09/2025 - 00:46:04
10,Fermignano,Francesco Gerardi,16,0,0,0.45,7,30/09/2025 - 00:46:04
10,Fermignano,Beatrice Marinelli,15,0,0,0.42,7,30/09/2025 - 00:46:04
11,Fossombrone,Francesco Acquaroli,2307,0,0,55.85,12,30/09/2025 - 00:46:04
11,Fossombrone,Matteo Ricci,1551,0,0,37.55,12,30/09/2025 - 00:46:04
11,Fossombrone,Beatrice Marinelli,158,0,0,3.82,12,30/09/2025 - 00:46:04
11,Fossombrone,Lidia Mangani,42,0,0,1.02,12,30/09/2025 - 00:46:04
11,Fossombrone,Francesco Gerardi,41,0,0,0.99,12,30/09/2025 - 00:46:04
11,Fossombrone,Claudio Bolletta,32,0,0,0.77,12,30/09/2025 - 00:46:04
12,Fratte Rosa,Francesco Acquaroli,219,0,0,53.68,2,30/09/2025 - 00:46:04
12,Fratte Rosa,Matteo Ricci,176,0,0,43.14,2,30/09/2025 - 00:46:04
12,Fratte Rosa,Claudio Bolletta,4,0,0,0.98,2,30/09/2025 - 00:46:04
12,Fratte Rosa,Beatrice Marinelli,4,0,0,0.98,2,30/09/2025 - 00:46:04
12,Fratte Rosa,Lidia Mangani,3,0,0,0.74,2,30/09/2025 - 00:46:04
12,Fratte Rosa,Francesco Gerardi,2,0,0,0.49,2,30/09/2025 - 00:46:04
13,Frontino,Francesco Acquaroli,62,0,0,54.87,1,30/09/2025 - 00:46:04
13,Frontino,Matteo Ricci,39,0,0,34.51,1,30/09/2025 - 00:46:04
13,Frontino,Lidia Mangani,6,0,0,5.31,1,30/09/2025 - 00:46:04
13,Frontino,Claudio Bolletta,5,0,0,4.42,1,30/09/2025 - 00:46:04
13,Frontino,Beatrice Marinelli,1,0,0,0.88,1,30/09/2025 - 00:46:04
13,Frontino,Francesco Gerardi,0,0,0,0.0,1,30/09/2025 - 00:46:04
14,Frontone,Francesco Acquaroli,348,0,0,53.21,2,30/09/2025 - 00:46:04
14,Frontone,Matteo Ricci,289,0,0,44.19,2,30/09/2025 - 00:46:04
14,Frontone,Lidia Mangani,9,0,0,1.38,2,30/09/2025 - 00:46:04
14,Frontone,Beatrice Marinelli,5,0,0,0.76,2,30/09/2025 - 00:46:04
14,Frontone,Francesco Gerardi,3,0,0,0.46,2,30/09/2025 - 00:46:04
14,Frontone,Claudio Bolletta,0,0,0,0.0,2,30/09/2025 - 00:46:04
15,Gabicce Mare,Matteo Ricci,810,0,0,47.54,6,30/09/2025 - 00:46:04
15,Gabicce Mare,Francesco Acquaroli,803,0,0,47.12,6,30/09/2025 - 00:46:04
15,Gabicce Mare,Claudio Bolletta,35,0,0,2.05,6,30/09/2025 - 00:46:04
15,Gabicce Mare,Francesco Gerardi,25,0,0,1.47,6,30/09/2025 - 00:46:04
15,Gabicce Mare,Lidia Mangani,22,0,0,1.29,6,30/09/2025 - 00:46:04
15,Gabicce Mare,Beatrice Marinelli,9,0,0,0.53,6,30/09/2025 - 00:46:04
16,Gradara,Matteo Ricci,796,0,0,52.51,3,30/09/2025 - 00:46:04
16,Gradara,Francesco Acquaroli,670,0,0,44.2,3,30/09/2025 - 00:46:04
16,Gradara,Lidia Mangani,18,0,0,1.19,3,30/09/2025 - 00:46:04
16,Gradara,Francesco Gerardi,16,0,0,1.06,3,30/09/2025 - 00:46:04
16,Gradara,Claudio Bolletta,14,0,0,0.92,3,30/09/2025 - 00:46:04
16,Gradara,Beatrice Marinelli,2,0,0,0.13,3,30/09/2025 - 00:46:04
17,Isola Del Piano,Francesco Acquaroli,129,0,0,50.79,1,30/09/2025 - 00:46:04
17,Isola Del Piano,Matteo Ricci,119,0,0,46.85,1,30/09/2025 - 00:46:04
17,Isola Del Piano,Lidia Mangani,3,0,0,1.18,1,30/09/2025 - 00:46:04
17,Isola Del Piano,Beatrice Marinelli,2,0,0,0.79,1,30/09/2025 - 00:46:04
17,Isola Del Piano,Claudio Bolletta,1,0,0,0.39,1,30/09/2025 - 00:46:04
17,Isola Del Piano,Francesco Gerardi,0,0,0,0.0,1,30/09/2025 - 00:46:04
18,Lunano,Francesco Acquaroli,414,0,0,68.77,1,30/09/2025 - 00:46:04
18,Lunano,Matteo Ricci,181,0,0,30.07,1,30/09/2025 - 00:46:04
18,Lunano,Lidia Mangani,3,0,0,0.5,1,30/09/2025 - 00:46:04
18,Lunano,Francesco Gerardi,2,0,0,0.33,1,30/09/2025 - 00:46:04
18,Lunano,Beatrice Marinelli,2,0,0,0.33,1,30/09/2025 - 00:46:04
18,Lunano,Claudio Bolletta,0,0,0,0.0,1,30/09/2025 - 00:46:04
19,Macerata Feltria,Francesco Acquaroli,578,0,0,63.73,3,30/09/2025 - 00:46:04
19,Macerata Feltria,Matteo Ricci,310,0,0,34.18,3,30/09/2025 - 00:46:04
19,Macerata Feltria,Beatrice Marinelli,10,0,0,1.1,3,30/09/2025 - 00:46:04
19,Macerata Feltria,Lidia Mangani,7,0,0,0.77,3,30/09/2025 - 00:46:04
19,Macerata Feltria,Claudio Bolletta,2,0,0,0.22,3,30/09/2025 - 00:46:04
19,Macerata Feltria,Francesco Gerardi,0,0,0,0.0,3,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Francesco Acquaroli,443,0,0,68.79,2,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Matteo Ricci,189,0,0,29.35,2,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Lidia Mangani,5,0,0,0.78,2,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Beatrice Marinelli,4,0,0,0.62,2,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Claudio Bolletta,3,0,0,0.47,2,30/09/2025 - 00:46:04
20,Mercatello Sul Metauro,Francesco Gerardi,0,0,0,0.0,2,30/09/2025 - 00:46:04
21,Mercatino Conca,Francesco Acquaroli,230,0,0,52.51,1,30/09/2025 - 00:46:04
21,Mercatino Conca,Matteo Ricci,193,0,0,44.06,1,30/09/2025 - 00:46:04
21,Mercatino Conca,Lidia Mangani,7,0,0,1.6,1,30/09/2025 - 00:46:04
21,Mercatino Conca,Claudio Bolletta,3,0,0,0.68,1,30/09/2025 - 00:46:04
21,Mercatino Conca,Francesco Gerardi,3,0,0,0.68,1,30/09/2025 - 00:46:04
